restaurant_id,restaurant_name,cuisine,city,rating
REST0001,Classic Point,Burger,Kolkata,4.9
REST0002,Elite Plaza,Italian,Delhi,4.5
REST0003,Hungry Bistro,Street Food,Kolkata,3.5
REST0004,Urban Lounge,South Indian,Hyderabad,3.7
REST0005,Grand Station,Pizza,Kolkata,4.8
REST0006,Elite Grill,Biryani,Mumbai,3.6
REST0007,Little Hub,Cafe,Hyderabad,3.8
REST0008,Royal Kitchen,Italian,Ahmedabad,3.8
REST0009,Fusion Plaza,Burger,Mumbai,4.4
REST0010,Blue Palace,Chinese,Hyderabad,4.4
REST0011,Fresh Station,Italian,Ahmedabad,3.9
REST0012,Classic Junction,Desserts,Pune,3.8
REST0013,Elite Express,Street Food,Delhi,4.6
REST0014,Classic House,Biryani,Bangalore,4.9
REST0015,Hot Restaurant,Chinese,Bangalore,3.6
REST0016,Golden Lounge,Cafe,Mumbai,3.7
REST0017,Masala Express,North Indian,Mumbai,4.5
REST0018,Spice Express,North Indian,Mumbai,4.7
REST0019,Express Station,Burger,Pune,4.7
REST0020,Blue Kitchen,Chinese,Pune,4.6
REST0021,Express Grill,Street Food,Chennai,4.8
REST0022,Fresh Square,Italian,Bangalore,3.8
REST0023,Blue Plaza,Italian,Chennai,3.7
REST0024,Cool Stop,Burger,Mumbai,4.4
REST0025,Fresh Restaurant,Biryani,Bangalore,4.7
REST0026,Hungry Station,Mexican,Delhi,4.4
REST0027,Happy Square,South Indian,Ahmedabad,4.9
REST0028,Happy Point,Biryani,Hyderabad,4.7
REST0029,Premium Diner,Chinese,Kolkata,4.6
REST0030,Elite Cafe,North Indian,Mumbai,3.6
REST0031,Taste Grill,Burger,Chennai,3.7
REST0032,Elite Square,North Indian,Bangalore,4.7
REST0033,Delhi Restaurant,Healthy,Ahmedabad,3.8
REST0034,Express Express,Burger,Bangalore,3.5
REST0035,Food Junction,Healthy,Bangalore,4.9
REST0036,Hot Junction,Chinese,Mumbai,4.8
REST0037,Urban Corner,Healthy,Hyderabad,3.8
REST0038,Spice Junction,North Indian,Pune,4.7
REST0039,Fusion Point,North Indian,Mumbai,3.6
REST0040,The Bistro,North Indian,Mumbai,3.9
REST0041,Express Corner,Mexican,Jaipur,4.4
REST0042,Masala Lounge,North Indian,Delhi,4.6
REST0043,Flavor Square,Pizza,Kolkata,3.5
REST0044,Grand Lounge,Chinese,Jaipur,4.0
REST0045,Little Diner,Chinese,Jaipur,3.8
REST0046,Cool Palace,Burger,Kolkata,5.0
REST0047,Blue Garden,North Indian,Kolkata,4.5
REST0048,Green Junction,Biryani,Pune,4.1
REST0049,Express Garden,Pizza,Mumbai,3.6
REST0050,Hot Hub,Desserts,Hyderabad,4.4
REST0051,Food Lounge,Chinese,Bangalore,4.5
REST0052,Food Garden,Healthy,Mumbai,4.7
REST0053,Premium Treat,Pizza,Hyderabad,3.9
REST0054,Cool Lounge,Healthy,Bangalore,5.0
REST0055,Taste Bistro,North Indian,Kolkata,4.2
REST0056,Spice Hub,Biryani,Bangalore,3.9
REST0057,Grand Restaurant,Cafe,Bangalore,4.0
REST0058,Heritage Express,North Indian,Delhi,4.3
REST0059,Red Junction,Pizza,Delhi,4.9
REST0060,Taste Express,Biryani,Jaipur,4.6
REST0061,Masala Square,Pizza,Mumbai,4.4
REST0062,Hungry House,North Indian,Delhi,3.7
REST0063,Elite Point,Biryani,Hyderabad,3.7
REST0064,Taste Restaurant,North Indian,Delhi,4.3
REST0065,Hungry Restaurant,Cafe,Pune,4.6
REST0066,The Kitchen,North Indian,Pune,4.6
REST0067,Big Point,North Indian,Pune,3.8
REST0068,Food Square,South Indian,Delhi,3.7
REST0069,Kitchen House,Burger,Kolkata,4.1
REST0070,Heritage Station,Healthy,Bangalore,4.9
REST0071,Fusion Station,North Indian,Pune,4.3
REST0072,Delhi Hub,North Indian,Delhi,4.0
REST0073,Hot Garden,Chinese,Mumbai,4.0
REST0074,Royal Express,Cafe,Kolkata,3.7
REST0075,Urban House,Mexican,Delhi,4.2
REST0076,Kitchen Garden,Chinese,Surat,4.7
REST0077,Blue Station,Pizza,Delhi,5.0
REST0078,Blue Treat,South Indian,Ahmedabad,4.3
REST0079,Fusion Grill,Italian,Pune,3.8
REST0080,Big Diner,Chinese,Mumbai,4.5
REST0081,The Stop,Biryani,Mumbai,4.6
REST0082,Food Point,Street Food,Bangalore,3.6
REST0083,Elite Treat,Biryani,Pune,4.8
REST0084,Little Treat,Italian,Delhi,4.7
REST0085,Happy Treat,Mexican,Ahmedabad,4.2
REST0086,Food Grill,North Indian,Pune,4.3
REST0087,Urban Stop,Biryani,Pune,4.6
REST0088,Happy Stop,Pizza,Ahmedabad,4.5
REST0089,Kitchen Diner,Desserts,Bangalore,3.5
REST0090,Fresh Diner,South Indian,Ahmedabad,3.7
REST0091,Cafe Plaza,Biryani,Delhi,3.7
REST0092,Spice Treat,Burger,Delhi,4.6
REST0093,Classic Palace,South Indian,Mumbai,4.2
REST0094,Green Corner,Burger,Kolkata,4.3
